2025-05-26 20:33:34.602 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 44/5415 只股票: 000066
2025-05-26 20:33:34.603 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000066
2025-05-26 20:33:34.851 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000066
2025-05-26 20:33:34.862 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000066.csv
2025-05-26 20:33:34.863 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 45/5415 只股票: 000068
2025-05-26 20:33:34.863 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000068
2025-05-26 20:33:35.049 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000068
2025-05-26 20:33:35.059 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000068.csv
2025-05-26 20:33:35.060 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 46/5415 只股票: 000069
2025-05-26 20:33:35.060 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000069
2025-05-26 20:33:35.305 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000069
2025-05-26 20:33:35.315 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000069.csv
2025-05-26 20:33:35.316 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 47/5415 只股票: 000070
2025-05-26 20:33:35.316 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000070
2025-05-26 20:33:35.510 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000070
2025-05-26 20:33:35.520 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000070.csv
2025-05-26 20:33:35.521 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 48/5415 只股票: 000078
2025-05-26 20:33:35.521 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000078
2025-05-26 20:33:35.687 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000078
2025-05-26 20:33:35.697 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000078.csv
2025-05-26 20:33:35.697 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 49/5415 只股票: 000088
2025-05-26 20:33:35.698 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000088
2025-05-26 20:33:35.923 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000088
2025-05-26 20:33:35.933 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000088.csv
2025-05-26 20:33:35.933 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 50/5415 只股票: 000089
2025-05-26 20:33:35.933 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000089
2025-05-26 20:33:36.164 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000089
2025-05-26 20:33:36.173 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000089.csv
2025-05-26 20:33:36.174 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 51/5415 只股票: 000090
2025-05-26 20:33:36.174 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000090
2025-05-26 20:33:36.408 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000090
2025-05-26 20:33:36.418 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000090.csv
2025-05-26 20:33:36.418 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 52/5415 只股票: 000096
2025-05-26 20:33:36.418 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000096
2025-05-26 20:33:36.646 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000096
2025-05-26 20:33:36.656 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000096.csv
2025-05-26 20:33:36.657 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 53/5415 只股票: 000099
2025-05-26 20:33:36.657 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000099
