代码,名称,上市日期,行业,板块,交易所,上市年份
002197,ST证通,2007-12-18,I 信息技术,主板,SZSE,2007.0
002198,嘉应制药,2007-12-18,C 制造业,主板,SZSE,2007.0
002199,*ST东晶,2007-12-21,C 制造业,主板,SZSE,2007.0
002200,*ST交投,2007-12-21,E 建筑业,主板,SZSE,2007.0
002201,九鼎新材,2007-12-26,C 制造业,主板,SZSE,2007.0
002202,金风科技,2007-12-26,C 制造业,主板,SZSE,2007.0
002203,海亮股份,2008-01-16,C 制造业,主板,SZSE,2008.0
002204,大连重工,2008-01-16,C 制造业,主板,SZSE,2008.0
002205,国统股份,2008-01-23,C 制造业,主板,SZSE,2008.0
002206,海 利 得,2008-01-23,C 制造业,主板,SZSE,2008.0
002207,准油股份,2008-01-28,B 采矿业,主板,SZSE,2008.0
002208,合肥城建,2008-01-28,K 房地产,主板,SZSE,2008.0
002209,达 意 隆,2008-01-30,C 制造业,主板,SZSE,2008.0
002210,飞马国际,2008-01-30,L 商务服务,主板,SZSE,2008.0
002211,ST宏达,2008-02-01,C 制造业,主板,SZSE,2008.0
002212,天融信,2008-02-01,I 信息技术,主板,SZSE,2008.0
002213,大为股份,2008-02-01,C 制造业,主板,SZSE,2008.0
002214,*ST大立,2008-02-18,C 制造业,主板,SZSE,2008.0
002215,诺 普 信,2008-02-18,C 制造业,主板,SZSE,2008.0
002216,三全食品,2008-02-20,C 制造业,主板,SZSE,2008.0
002217,*ST合泰,2008-02-20,C 制造业,主板,SZSE,2008.0
002218,拓日新能,2008-02-28,C 制造业,主板,SZSE,2008.0
002219,新里程,2008-03-06,Q 卫生,主板,SZSE,2008.0
002221,东华能源,2008-03-06,F 批发零售,主板,SZSE,2008.0
002222,福晶科技,2008-03-19,C 制造业,主板,SZSE,2008.0
002223,鱼跃医疗,2008-04-18,C 制造业,主板,SZSE,2008.0
002224,三 力 士,2008-04-25,C 制造业,主板,SZSE,2008.0
002225,濮耐股份,2008-04-25,C 制造业,主板,SZSE,2008.0
002226,江南化工,2008-05-06,C 制造业,主板,SZSE,2008.0
002227,奥 特 迅,2008-05-06,C 制造业,主板,SZSE,2008.0
002228,合兴包装,2008-05-08,C 制造业,主板,SZSE,2008.0
